"","Position","Year","Team"
"1128",8,"1964","Manly Warringah"
"1129",9,"1964","Eastern Sydney"
"1130",10,"1964","Canterbury"
"1141",1,"1965","St George"
"1142",2,"1965","North Sydney"
"1143",3,"1965","Parramatta"
"1144",4,"1965","South Sydney"
"1145",5,"1965","Balmain"
"1146",6,"1965","Newtown"
"1147",7,"1965","Manly Warringah"
"1148",8,"1965","Western Suburbs"
"1149",9,"1965","Canterbury"
"1150",10,"1965","Eastern Sydney"
"1161",1,"1966","St George"
"1162",2,"1966","Balmain"
"1163",3,"1966","Manly Warringah"
"1164",4,"1966","Newtown"
"1165",5,"1966","Western Suburbs"
"1166",6,"1966","Parramatta"
"1167",7,"1966","South Sydney"
"1168",8,"1966","Canterbury"
"1169",9,"1966","North Sydney"
"1170",10,"1966","Eastern Sydney"
"1181",1,"1967","St George"
"1182",2,"1967","South Sydney"
"1183",3,"1967","Canterbury"
"1184",4,"1967","Eastern Sydney"
"1185",5,"1967","Balmain"
"1186",6,"1967","Manly Warringah"
"1187",7,"1967","Western Suburbs"
"1188",8,"1967","North Sydney"
"1189",9,"1967","Newtown"
"1190",10,"1967","Parramatta"
"1191",11,"1967","Penrith"
"1192",12,"1967","Cronulla"
"1201",1,"1968","South Sydney"
"1202",2,"1968","Manly Warringah"
"1203",3,"1968","Eastern Sydney"
"1204",4,"1968","St George"
"1205",5,"1968","Balmain"
"1206",6,"1968","Parramatta"
"1207",7,"1968","Western Suburbs"
"1208",8,"1968","Penrith"
"1209",9,"1968","Canterbury"
"1210",10,"1968","Cronulla"
"1211",11,"1968","North Sydney"
"1212",12,"1968","Newtown"
"1221",1,"1969","South Sydney"
"1222",2,"1969","Balmain"
"1223",3,"1969","Manly Warringah"
"1224",4,"1969","St George"
"1225",5,"1969","Parramatta"
"1226",6,"1969","Western Suburbs"
"1227",7,"1969","North Sydney"
"1228",8,"1969","Canterbury"
"1229",9,"1969","Eastern Sydney"
"1230",10,"1969","Newtown"
"1231",11,"1969","Penrith"
"1232",12,"1969","Cronulla"
"1241",1,"1970","South Sydney"
"1242",2,"1970","Manly Warringah"
"1243",3,"1970","St George"
"1244",4,"1970","Canterbury"
"1245",5,"1970","Eastern Sydney"
"1246",6,"1970","Balmain"
"1247",7,"1970","Cronulla"
"1248",8,"1970","Newtown"
"1249",9,"1970","North Sydney"
"1250",10,"1970","Penrith"
"1251",11,"1970","Western Suburbs"
"1252",12,"1970","Parramatta"
"1261",1,"1971","Manly Warringah"
"1262",2,"1971","South Sydney"
"1263",3,"1971","St George"
"1264",4,"1971","Parramatta"
"1265",5,"1971","Balmain"
"1266",6,"1971","Canterbury"
"1267",7,"1971","Cronulla"
"1268",8,"1971","Penrith"
"1269",9,"1971","Eastern Sydney"
"1270",10,"1971","Newtown"
"1271",11,"1971","North Sydney"
"1272",12,"1971","Western Suburbs"
"1281",1,"1972","Manly Warringah"
"1282",2,"1972","Eastern Sydney"
"1283",3,"1972","St George"
"1284",4,"1972","South Sydney"
"1285",5,"1972","Canterbury"
"1286",6,"1972","Newtown"
"1287",7,"1972","Western Suburbs"
"1288",8,"1972","Cronulla"
"1289",9,"1972","North Sydney"
"1290",10,"1972","Balmain"
"1291",11,"1972","Penrith"
"1292",12,"1972","Parramatta"
"1301",1,"1973","Manly Warringah"
"1302",2,"1973","Cronulla"
"1303",3,"1973","St George"
"1304",4,"1973","Newtown"
"1305",5,"1973","Canterbury"
"1306",6,"1973","Eastern Sydney"
"1307",7,"1973","South Sydney"
"1308",8,"1973","North Sydney"
"1309",9,"1973","Balmain"
"1310",10,"1973","Western Suburbs"
"1311",11,"1973","Parramatta"
"1312",12,"1973","Penrith"
"1321",1,"1974","Eastern Sydney"
"1322",2,"1974","Manly Warringah"
"1323",3,"1974","Canterbury"
"1324",4,"1974","South Sydney"
"1325",5,"1974","Western Suburbs"
"1326",6,"1974","North Sydney"
"1327",7,"1974","Newtown"
"1328",8,"1974","St George"
"1329",9,"1974","Cronulla"
"1330",10,"1974","Penrith"
"1331",11,"1974","Balmain"
"1332",12,"1974","Parramatta"
"1341",1,"1975","Eastern Sydney"
"1342",2,"1975","Manly Warringah"
"1343",3,"1975","St George"
"1344",4,"1975","Canterbury"
"1345",5,"1975","Parramatta"
"1346",6,"1975","Balmain"
"1347",7,"1975","Western Suburbs"
"1348",8,"1975","Cronulla"
"1349",9,"1975","North Sydney"
"1350",10,"1975","Newtown"
"1351",11,"1975","Penrith"
"1352",12,"1975","South Sydney"
"1361",1,"1976","Manly Warringah"
"1362",2,"1976","Parramatta"
"1363",3,"1976","St George"
"1364",4,"1976","Canterbury"
"1365",5,"1976","Eastern Sydney"
"1366",6,"1976","Balmain"
"1367",7,"1976","Western Suburbs"
"1368",8,"1976","Cronulla"
"1369",9,"1976","Penrith"
"1370",10,"1976","South Sydney"
"1371",11,"1976","North Sydney"
"1372",12,"1976","Newtown"
"1381",1,"1977","Parramatta"
"1382",2,"1977","St George"
"1383",3,"1977","Eastern Sydney"
"1384",4,"1977","Balmain"
"1385",5,"1977","Manly Warringah"
"1386",6,"1977","Cronulla"
"1387",7,"1977","Canterbury"
"1388",8,"1977","North Sydney"
"1389",9,"1977","Western Suburbs"
"1390",10,"1977","Penrith"
"1391",11,"1977","South Sydney"
"1392",12,"1977","Newtown"
"1401",1,"1978","Western Suburbs"
"1402",2,"1978","Cronulla"
"1403",3,"1978","Manly Warringah"
"1404",4,"1978","Canterbury"
"1405",5,"1978","Parramatta"
"1406",6,"1978","Eastern Sydney"
"1407",7,"1978","South Sydney"
"1408",8,"1978","St George"
"1409",9,"1978","Balmain"
"1410",10,"1978","Penrith"
"1411",11,"1978","North Sydney"
"1412",12,"1978","Newtown"
"1421",1,"1979","St George"
"1422",2,"1979","Parramatta"
"1423",3,"1979","Cronulla"
"1424",4,"1979","Western Suburbs"
"1425",5,"1979","Canterbury"
"1426",6,"1979","Balmain"
"1427",7,"1979","Manly Warringah"
"1428",8,"1979","Eastern Sydney"
"1429",9,"1979","South Sydney"
"1430",10,"1979","Penrith"
"1431",11,"1979","Newtown"
"1432",12,"1979","North Sydney"
"1441",1,"1980","Canterbury"
"1442",2,"1980","Eastern Sydney"
"1443",3,"1980","St George"
"1444",4,"1980","Western Suburbs"
"1445",5,"1980","South Sydney"
"1446",6,"1980","Manly Warringah"
"1447",7,"1980","Parramatta"
"1448",8,"1980","Newtown"
"1449",9,"1980","Cronulla"
"1450",10,"1980","Balmain"
"1451",11,"1980","North Sydney"
"1452",12,"1980","Penrith"
"1461",1,"1981","Eastern Sydney"
"1462",2,"1981","Newtown"
"1463",3,"1981","Parramatta"
"1464",4,"1981","Cronulla"
"1465",5,"1981","Manly Warringah"
"1466",6,"1981","Western Suburbs"
"1467",7,"1981","North Sydney"
"1468",8,"1981","St George"
"1469",9,"1981","South Sydney"
"1470",10,"1981","Canterbury"
"1471",11,"1981","Penrith"
"1472",12,"1981","Balmain"
"1481",1,"1982","Parramatta"
"1482",2,"1982","Manly Warringah"
"1483",3,"1982","North Sydney"
"1484",4,"1982","Eastern Sydney"
"1485",5,"1982","Western Suburbs"
"1486",6,"1982","South Sydney"
"1487",7,"1982","Newtown"
"1488",8,"1982","Canterbury"
"1489",9,"1982","Cronulla"
"1490",10,"1982","St George"
"1491",11,"1982","Balmain"
"1492",12,"1982","Penrith"
"1493",13,"1982","Illawarra"
"1494",14,"1982","Canberra"
"1501",1,"1983","Manly Warringah"
"1502",2,"1983","Canterbury"
"1503",3,"1983","Parramatta"
"1504",4,"1983","Balmain"
"1505",5,"1983","St George"
"1506",6,"1983","Eastern Sydney"
"1507",7,"1983","North Sydney"
"1508",8,"1983","South Sydney"
"1509",9,"1983","Cronulla"
"1510",10,"1983","Canberra"
"1511",11,"1983","Penrith"
"1512",12,"1983","Illawarra"
"1513",13,"1983","Newtown"
"1514",14,"1983","Western Suburbs"
"1521",1,"1984","Canterbury"
"1522",2,"1984","Parramatta"
"1523",3,"1984","St George"
"1524",4,"1984","Manly Warringah"
"1525",5,"1984","South Sydney"
"1526",6,"1984","Canberra"
"1527",7,"1984","Penrith"
"1528",8,"1984","Balmain"
"1529",9,"1984","Illawarra"
"1530",10,"1984","Cronulla"
"1531",11,"1984","North Sydney"
"1532",12,"1984","Eastern Sydney"
"1533",13,"1984","Western Suburbs"
"1541",1,"1985","St George"
"1542",2,"1985","Balmain"
"1543",3,"1985","Canterbury"
"1544",4,"1985","Parramatta"
"1545",5,"1985","Penrith"
"1546",6,"1985","Manly Warringah"
"1547",7,"1985","Eastern Sydney"
"1548",8,"1985","Cronulla"
"1549",9,"1985","South Sydney"
"1550",10,"1985","Canberra"
"1551",11,"1985","North Sydney"
"1552",12,"1985","Western Suburbs"
"1553",13,"1985","Illawarra"
"1561",1,"1986","Parramatta"
"1562",2,"1986","South Sydney"
"1563",3,"1986","Canterbury"
"1564",4,"1986","Manly Warringah"
"1565",5,"1986","Balmain"
"1566",6,"1986","North Sydney"
"1567",7,"1986","St George"
"1568",8,"1986","Penrith"
"1569",9,"1986","Eastern Sydney"
"1570",10,"1986","Cronulla"
"1571",11,"1986","Canberra"
"1572",12,"1986","Western Suburbs"
"1573",13,"1986","Illawarra"
"1581",1,"1987","Manly Warringah"
"1582",2,"1987","Eastern Sydney"
"1583",3,"1987","Canberra"
"1584",4,"1987","Balmain"
"1585",5,"1987","South Sydney"
"1586",6,"1987","Canterbury"
"1587",7,"1987","Parramatta"
"1588",8,"1987","Cronulla"
"1589",9,"1987","North Sydney"
"1590",10,"1987","St George"
"1591",11,"1987","Illawarra"
"1592",12,"1987","Penrith"
"1593",13,"1987","Western Suburbs"
"1601",1,"1988","Cronulla"
"1602",2,"1988","Canterbury"
"1603",3,"1988","Canberra"
"1604",4,"1988","Manly Warringah"
"1605",5,"1988","Balmain"
"1606",6,"1988","Penrith"
"1607",7,"1988","Brisbane"
"1608",8,"1988","South Sydney"
"1609",9,"1988","North Sydney"
